Subject,Age,CharacterCode,Item,ISI_Sequence,ISI,ISD,BoundaryCode,ReadingScore
603,23,IB1,IB1_5,5,123,64.19501538,1st UB,82
002,22,IB4,IB4_3,3,123,61.03277808,1st UB,26
602,29,IT1,IT1_8,8,124,77.52418977,2nd UB,74
516,23,CB1,CB1_5,5,124,75.16648189,1st UB,42
518,23,IL3,IL3_8,8,124,88.63972022,2nd UB,66
406,27,CR2,CR2_4,4,125,68.60029154,1st UB,28
501,21,CT4,CT4_6,6,125,76.85050423,2nd UB,45
513,22,IT4,IT4_9,9,125,64.93843238,2nd UB,46
602,29,IR3,IR3_2,2,126,186.681547,1st UB,74
408,22,CR4,CR4_2,2,126,178.6756839,1st UB,35
513,22,CL3,CL3_6,6,126,67.44627492,2nd UB,46
602,29,IL1,IL1_9,9,127,104.1393297,2nd UB,74
406,27,IR2,IR2_4,4,127,69.83552105,1st UB,28
008,21,CT1,CT1_8,8,127,30.7822059,2nd UB,72
408,22,IL3,IL3_8,8,127,102.9028668,2nd UB,35
408,22,IB3,IB3_4,4,127,107.9120012,1st UB,35
410,23,IB4,IB4_3,3,127,80.11242101,1st UB,39
602,29,CT1,CT1_9,9,128,18.11077028,2nd UB,74
602,29,IR2,IR2_4,4,129,145.8903698,1st UB,74
516,23,IT1,IT1_8,8,129,56.60388679,2nd UB,42
516,23,CT3,CT3_9,9,130,93.08598176,2nd UB,42
008,21,CT2,CT2_8,8,131,14.27993347,2nd UB,72
301,23,IL1,IL1_9,9,131,85.27602242,2nd UB,28
408,22,CL1,CL1_9,9,131,43.65775991,2nd UB,35
517,23,IL3,IL3_8,8,131,55.4436651,2nd UB,52
601,30,CT4,CT4_6,6,132,87.02298547,2nd UB,39
515,20,IT1,IT1_8,8,132,146.4411144,2nd UB,71
601,30,IL3,IL3_8,8,133,114.1271221,2nd UB,39
601,30,CT3,CT3_9,9,133,170.0176461,2nd UB,39
601,30,IB4,IB4_3,3,133,127.2242115,1st UB,39
501,21,IT2,IT2_7,7,133,70.83784299,2nd UB,45
008,21,IT1,IT1_7,7,133,17.42219848,2nd UB,72
301,23,IT1,IT1_8,8,133,98.61541462,2nd UB,28
410,23,IR3,IR3_2,2,133,130.7822618,1st UB,39
410,23,IR4,IR4_3,3,133,28.65309756,1st UB,39
516,23,IT3,IT3_6,6,133,62.42595614,2nd UB,42
501,21,IL4,IL4_9,9,134,46.09772229,2nd UB,45
501,21,CT2,CT2_7,7,134,62.96824597,2nd UB,45
501,21,CL2,CL2_9,9,134,53.60037313,2nd UB,45
511,26,CR2,CR2_7,7,134,50.69516742,1st UB,50
517,23,CL3,CL3_6,6,134,87.09190548,2nd UB,52
517,23,IB3,IB3_4,4,134,84.50443775,1st UB,52
517,23,CR3,CR3_3,3,134,126.015872,1st UB,52
517,23,IL1,IL1_9,9,134,46.69047012,2nd UB,52
602,29,CL4,CL4_6,6,135,59.22837158,2nd UB,74
410,23,CT4,CT4_6,6,135,114.5469336,2nd UB,39
518,23,IL4,IL4_9,9,135,88.54377448,2nd UB,66
408,22,IT4,IT4_9,9,136,120.6026534,2nd UB,35
603,23,IT2,IT2_10,10,136,46.09772229,2nd UB,82
412,22,CL2,CL2_10,10,136,38.60051813,2nd UB,50
518,23,CL3,CL3_6,6,136,103.9422917,2nd UB,66
602,29,CL2,CL2_9,9,137,212.200377,2nd UB,74
008,21,CL2,CL2_9,9,137,57.87423088,2nd UB,72
517,23,IT4,IT4_9,9,137,75.59100476,2nd UB,52
507,23,IB1,IB1_4,4,138,40.1900112,1st UB,48
601,30,CL2,CL2_9,9,138,29.58022481,2nd UB,39
410,23,CB3,CB3_4,4,138,101.5332458,1st UB,39
516,23,CR3,CR3_3,3,139,154.9451516,1st UB,42
516,23,CB2,CB2_6,6,139,38.32753579,1st UB,42
602,29,CR2,CR2_4,4,140,122.5397895,1st UB,74
007,21,IR4,IR4_3,3,141,31.06444913,1st UB,85
511,26,CR1,CR1_5,5,141,78.02563681,1st UB,50
406,27,CB2,CB2_6,6,142,28.16025568,1st UB,28
007,21,IB3,IB3_3,3,142,22.82542442,1st UB,85
517,23,CT2,CT2_8,8,142,75.45197148,2nd UB,52
007,21,IT4,IT4_9,9,143,43.27817002,2nd UB,85
513,22,CT3,CT3_9,9,143,68.87670143,2nd UB,46
409,22,CB2,CB2_6,6,143,63.69458376,1st UB,61
516,23,CB3,CB3_4,4,143,81.43709229,1st UB,42
516,23,IB4,IB4_2,2,143,116.7304588,1st UB,42
517,23,IR2,IR2_3,3,143,58.72818744,1st UB,52
602,29,CT3,CT3_9,9,144,140.7160261,2nd UB,74
002,22,CL2,CL2_9,9,144,34.53983208,2nd UB,26
513,22,CL4,CL4_6,6,144,40.44749683,2nd UB,46
516,23,CR2,CR2_4,4,144,111.9732111,1st UB,42
001,20,CB1,CB1_6,6,145,27.03964682,1st UB,88
414,22,IR3,IR3_2,2,145,54.62600113,1st UB,48
516,23,IB1,IB1_5,5,146,76.21679605,1st UB,42
517,23,CR4,CR4_2,2,146,129.7112177,1st UB,52
408,22,IR4,IR4_3,3,147,129.7112177,1st UB,35
411,22,CL2,CL2_9,9,147,77.76153291,2nd UB,30
516,23,CT1,CT1_9,9,147,42.63801121,2nd UB,42
001,20,IL1,IL1_8,8,148,30.54362454,2nd UB,88
401,26,IL2,IL2_11,11,148,23.70653918,2nd UB,52
410,23,IT1,IT1_7,7,148,98.8382517,2nd UB,39
405,38,CT3,CT3_9,9,149,140.0714104,2nd UB,71
602,29,IB4,IB4_3,3,149,117.0170928,1st UB,74
401,26,CL2,CL2_9,9,149,175.8237754,2nd UB,52
005,23,IB1,IB1_5,5,149,32.44996148,1st UB,39
412,22,CT2,CT2_9,9,149,53.23532662,2nd UB,50
516,23,CL2,CL2_9,9,149,82.63776376,2nd UB,42
405,38,IB3,IB3_3,3,150,81.46778504,1st UB,71
405,38,CB4,CB4_3,3,150,71.50524456,1st UB,71
601,30,IB1,IB1_5,5,150,110.1362792,1st UB,39
504,22,IT1,IT1_8,8,150,64.19501538,2nd UB,59
408,22,CT2,CT2_8,8,150,45.80392996,2nd UB,35
514,23,CT2,CT2_8,8,150,45.80392996,2nd UB,62
515,20,IT2,IT2_8,8,150,43.27817002,2nd UB,71
603,23,CT4,CT4_6,6,150,211.8041548,2nd UB,82
517,23,CT4,CT4_6,6,150,77.79460136,2nd UB,52
518,23,IR3,IR3_2,2,150,103.1600698,1st UB,66
501,21,CB2,CB2_5,5,151,30,1st UB,45
517,23,IT1,IT1_8,8,151,83.48652586,2nd UB,52
602,29,IR1,IR1_5,5,152,157.8131807,1st UB,74
408,22,IL1,IL1_9,9,152,36.23534186,2nd UB,35
514,23,IL1,IL1_9,9,152,36.23534186,2nd UB,62
001,20,IR1,IR1_4,4,153,35.86343124,1st UB,88
502,26,IL2,IL2_12,12,153,48.46446327,2nd UB,44
007,21,IL3,IL3_7,7,153,55.80322571,2nd UB,85
604,23,IL2,IL2_12,12,153,25.50904349,2nd UB,75
401,26,CT3,CT3_9,9,154,192.8115002,2nd UB,52
408,22,CR3,CR3_3,3,154,142.8635713,1st UB,35
006,18,CB4,CB4_3,3,154,62.43396512,1st UB,66
410,23,IT4,IT4_9,9,154,106.329676,2nd UB,39
517,23,IB4,IB4_3,3,154,70.40596566,1st UB,52
501,21,IR4,IR4_3,3,155,43.18564576,1st UB,45
006,18,CT3,CT3_9,9,155,148.8623525,2nd UB,66
518,23,CT3,CT3_9,9,155,60.46486583,2nd UB,66
501,21,CR3,CR3_3,3,156,84.97058314,1st UB,45
603,23,IL1,IL1_9,9,156,21.21320344,2nd UB,82
604,23,CB2,CB2_6,6,156,30.40295545,1st UB,75
413,22,CT2,CT2_8,8,156,25.29822128,2nd UB,47
603,23,CR1,CR1_5,5,157,118.5116028,1st UB,82
002,22,IL3,IL3_8,8,158,69.8140387,2nd UB,26
007,21,IB4,IB4_3,3,158,45.04442252,1st UB,85
513,22,CR4,CR4_2,2,158,87.09190548,1st UB,46
513,22,IR3,IR3_2,2,158,78.79086241,1st UB,46
410,23,CT1,CT1_9,9,158,72.00694411,2nd UB,39
517,23,IR1,IR1_5,5,158,88.68483523,1st UB,52
518,23,IB4,IB4_3,3,158,64.25729531,1st UB,66
520,24,CR2,CR2_4,4,158,144,1st UB,65
403,24,IR2,IR2_4,4,159,45.70557953,1st UB,52
